Kategorie,Produkt,Preis
kuehlung,"GOURMET Frisch gefüllte Pasta, Aubergingen mit Tomaten & Mozzarella","€ 2,99"
kuehlung,"GOURMET Frisch gefüllte Pasta, geschmortes Rindfleisch & Merlot","€ 2,99"
kuehlung,GOURMET Mini Scamorza Spizzico,"€ 2,69"
kuehlung,GOURMET Schaumrolle,"€ 3,49"
kuehlung,GREENFORCE Veganer Leberkäse,"€ 2,99"
kuehlung,"GUTES AUS DER REGION Heumilchkäse, Jausengold","€ 3,26"
kuehlung,"GUTES AUS DER REGION Heumilchkäse, Mondseer","€ 3,26"
kuehlung,"GUTES AUS DER REGION Traunsteiner Rauchkäse, Großlochkäse","€ 12,99"
kuehlung,"GUTES AUS DER REGION Traunsteiner Rauchkäse, Standard","€ 12,99"
kuehlung,JUST VEG Pflanzliche Kochcreme,"€ 0,79"
kuehlung,"LYTTOS Joghurt griechischer Art, natur","€ 1,99"
kuehlung,"LYTTOS Original griechisches Tzatziki, ohne Palmöl","€ 2,29"
kuehlung,"MEINE KÄSETHEKE Frischkäsezubereitung, Kräuter","€ 1,79"
kuehlung,"MEINE KÄSETHEKE Frischkäsezubereitung, Peppasweet","€ 1,79"
kuehlung,"MEINE KÄSETHEKE Frischkäsezubereitung, Schnittlauch",
kuehlung,"MEINE KÄSETHEKE Frischkäsezubereitung, Tomate",
kuehlung,"MEINE KÄSETHEKE Frischkäsezubereitung, Ziege-Kräuter",
kuehlung,"MILFINA Bergkäse, gerieben","€ 1,99"
kuehlung,"MILFINA Butter, laktosefrei","€ 2,69"
kuehlung,"MILFINA Cheddar, gerieben","€ 2,99"
kuehlung,MILFINA Familienjoghurt,"€ 1,59"
kuehlung,"MILFINA Frischkäse, Kren","€ 1,29"
kuehlung,"MILFINA Frischkäse, Laktosefrei","€ 1,29"
kuehlung,"MILFINA Frischkäse, Paprika","€ 1,29"
kuehlung,"MILFINA Gouda Scheiben, Geräuchert","€ 2,29"
kuehlung,"MILFINA Gouda Scheiben, Standard","€ 2,29"
kuehlung,MILFINA Kefir,"€ 0,99"
kuehlung,"MILFINA Käseplatte, Mild","€ 2,49"
kuehlung,"MILFINA Mozzarella, gerieben","€ 2,29"
kuehlung,"MILFINA Prämierter Käsegenuss, Spielberger Premium","€ 3,29"
kuehlung,"MILFINA Prämierter Käsegenuss, Weinkäse","€ 3,29"
kuehlung,"MILFINA Raclette, Extra-Würzig","€ 12,99"
kuehlung,"MILFINA Raclette, Standard","€ 12,99"
